City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Dikson,48,RU,1546882733,91,73.51,80.55,-4.27,15.21
Joniskis,90,LT,1546879800,100,56.24,23.62,23.0,14.99
Houma,24,CN,1546882734,82,35.63,111.36,13.19,2.35
Pacific Grove,20,US,1546881600,82,36.62,-121.92,53.06,5.14
Busselton,0,AU,1546882734,100,-33.64,115.35,62.69,23.26
Kindersley,75,CA,1546880400,78,51.47,-109.16,14.0,26.4
Vaini,0,IN,1546882734,70,15.34,74.49,64.94,4.81
Russell,0,AR,1546882735,70,-33.01,-68.8,70.16,2.8
Rikitea,80,PF,1546882735,99,-23.12,-134.97,79.03,17.78
Constitucion,90,MX,1546879860,39,23.99,-104.67,62.6,4.7
Vuktyl,88,RU,1546882735,83,63.86,57.31,7.12,5.7
Severo-Kurilsk,56,RU,1546882735,100,50.68,156.12,26.56,23.6
Saint George,40,GR,1546881600,75,39.45,22.34,32.0,6.93
Puerto Ayora,75,EC,1546880400,55,-0.74,-90.35,86.0,16.11
Cidreira,24,BR,1546882736,74,-30.17,-50.22,90.41,12.64
Inhambane,20,MZ,1546880400,65,-23.87,35.38,78.8,8.5
Airai,0,TL,1546882736,89,-8.93,125.41,66.61,1.68
Hermanus,8,ZA,1546882736,67,-34.42,19.24,68.59,4.59
Mataura,80,NZ,1546882736,70,-46.19,168.86,54.05,8.95
Melilla,75,EC,1546880400,74,-0.8,-80.23,82.4,8.05
Shimoda,8,JP,1546882737,100,34.7,138.93,49.28,10.74
Viedma,0,AR,1546882737,28,-40.81,-62.99,85.87,11.3
Heinola,75,FI,1546881600,92,61.2,26.03,30.2,5.82
Lebu,0,ET,1546880400,26,8.96,38.73,59.0,13.87
Kibakwe,88,TZ,1546882738,85,-6.71,36.37,68.86,3.02
Ostrovnoy,92,RU,1546882738,95,68.05,39.51,25.93,13.98
Punta Arenas,40,CL,1546880400,46,-53.16,-70.91,53.6,13.87
Makakilo City,1,US,1546880220,86,21.35,-158.09,66.02,4.7
Tuktoyaktuk,90,CA,1546880400,83,69.44,-133.03,-11.21,3.36
Sitka,8,US,1546882738,40,37.17,-99.65,55.4,7.72
Kapaa,1,US,1546880160,83,22.08,-159.32,64.94,6.93
San Vicente,20,SV,1546879800,43,13.64,-88.78,89.6,10.29
Arraial do Cabo,0,BR,1546880400,52,-22.97,-42.02,93.2,21.92
Cape Town,0,ZA,1546880400,64,-33.93,18.42,69.8,24.16
Huarmey,0,PE,1546882740,58,-10.07,-78.15,78.35,3.8
Pathardi,0,IN,1546882740,73,19.17,75.17,49.73,3.69
Saskylakh,8,RU,1546882740,0,71.97,114.09,-42.12,8.16
Fortuna,0,ES,1546880400,62,38.18,-1.13,55.4,9.17
Jamestown,76,AU,1546882741,82,-33.21,138.6,58.55,2.57
Hanau,90,DE,1546881600,70,50.13,8.92,42.8,10.29
Miyako,75,JP,1546880400,79,33.63,130.94,48.2,5.82
Chokurdakh,36,RU,1546882741,43,70.62,147.9,-27.49,8.28
Caravelas,0,BR,1546882741,100,-17.73,-39.27,80.92,12.97
Cayenne,90,GF,1546880400,70,4.94,-52.33,84.2,16.11
Qaanaaq,12,GL,1546882742,100,77.48,-69.36,-14.26,11.86
Port Hardy,20,CA,1546880400,92,50.7,-127.42,30.2,3.36
Albany,90,US,1546880040,42,42.65,-73.75,19.94,5.82
Varzea da Palma,20,BR,1546882743,79,-17.6,-44.73,85.1,4.59
Nador,20,MA,1546880400,67,35.17,-2.93,59.0,4.7
Pilar,90,AR,1546880400,73,-34.46,-58.91,78.8,6.93
Puerto Escondido,5,MX,1546879260,69,15.86,-97.07,82.4,5.82
Spirit River,75,CA,1546880400,70,55.78,-118.84,-4.01,12.75
Ushuaia,40,AR,1546880400,81,-54.81,-68.31,53.6,9.17
Georgetown,75,GY,1546880400,74,6.8,-58.16,86.0,16.11
Coquimbo,40,CL,1546880400,56,-29.95,-71.34,71.6,14.99
Chuy,92,UY,1546882744,89,-33.69,-53.46,78.08,31.32
Bredasdorp,36,ZA,1546880400,64,-34.53,20.04,73.4,8.05
Inuvik,75,CA,1546880400,75,68.36,-133.71,-13.01,3.36
Tefe,40,BR,1546880400,70,-3.35,-64.71,87.8,6.93
Saint-Augustin,90,FR,1546880400,87,44.83,-0.61,44.6,3.36
Menomonie,90,US,1546882260,100,44.88,-91.92,39.92,9.17
Hobart,75,AU,1546880400,87,-42.88,147.33,57.2,3.36
College,20,US,1546880280,67,64.86,-147.8,-38.93,4.7
Sao Filipe,0,CV,1546882745,83,14.9,-24.5,76.69,11.41
Krasnyy Chikoy,0,RU,1546882746,34,50.36,108.75,-25.29,2.57
Beidao,0,CN,1546882746,74,34.57,105.89,16.34,2.35
Dodge City,1,US,1546880040,47,37.75,-100.02,48.02,9.17
Te Anau,64,NZ,1546882746,82,-45.41,167.72,50.14,5.7
Hilo,75,US,1546879980,67,19.71,-155.08,64.04,8.05
